ref_evap;ref_ceh;lugar;comentario;serv;muni_id;alti;hoja_id;nae;num_cuenca;xutm30;yutm30;longwgs84;latwgs84;xetrs89;yetrs89
2001;2026;BARRIOS DE LUNA                         ;EMBALSE             ;1;24012;1031;102;37;2285;261985;4748325;-55451;425055;261876;4748119
2002;2038;SANTA TERESA                            ;EMBALSE             ;1;37200;833;528;39;2330;280190;4505855;-53607;404021;280081;4505648
2003;2001;CUERDA DEL POZO                         ;EMBALSE             ;1;42215;1042;317;38;2009;524755;4636455;-24211;415240;524647;4636247
2004;2030;PORMA                                   ;EMBALSE             ;1;24021;1023;104;38;2265;312964;4755715;-51736;425545;312855;4755510
2005;2016;AGUILAR DE CAMPOO                       ;EMBALSE             ;1;34004;890;133;37;2130;395290;4738895;-41654;424737;395182;4738689
2006;2063;RETUERTA                                ;EMBALSE             ;1;9169;885;277;36;2165;459305;4654880;-32935;420235;459197;4654673
2007;2036;LINARES DEL ARROYO                      ;EMBALSE             ;1;40115;887;375;34;2098;453835;4597700;-33317;413140;453727;4597493
2008;2015;COMPUERTO                               ;EMBALSE             ;1;34199;1147;106;34;2195;350435;4747535;-44956;425150;350327;4747329
2009;2010;UZQUIZA                                 ;EMBALSE             ;1;9463;1045;239;32;2170;469775;4683975;-32205;421820;469668;4683767
2010;2012;CERVERA DE RUESGA                       ;EMBALSE             ;1;34056;1012;106;31;2129;375318;4747236;-43140;425156;375210;4747030
2011;2013;REQUEJADA, LA                           ;EMBALSE             ;1;34056;1030;107;31;2126;375260;4751975;-43146;425430;375152;4751769
2012;2014;CAMPORREDONDO                           ;EMBALSE             ;1;34199;1225;106;30;2195;358230;4751380;-44416;425400;358122;4751174
2013;2027;VILLAMECA                               ;EMBALSE             ;1;24123;976;160;27;2292;248215;4726125;-60422;423840;248105;4725919
2014;2032;RIAÑO                                   ;                    ;1;24130;1100;105;22;2262;330040;4757515;-50505;425658;329932;4757309
2015;2044;VILLAGONZALO                            ;AZUD                ;1;37352;808;479;19;2332;289760;4527490;-52946;405211;289650;4527283
2016;2042;CASTRO DE LAS COGOTAS                   ;EMBALSE             ;1;5049;1056;506;9;2214;356924;4509647;-44144;404324;356815;4509440
2017;;PONTON ALTO                             ;EMBALSE. INT 1999   ;0;40155;1104;483;2;2217;412865;4530247;-40210;405501;412756;4530040
